pl_name,disposition,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
EPIC 201828749.01,CANDIDATE,33.5107,2456813.158,5.2896,2.14,0.191,0.014,-0.014,0.02173,0.896,0.051,-0.051,212.292,1.988,-1.952,4.68209,0.043385,-0.043385
EPIC 201828749.01,CANDIDATE,33.515399,2456813.152,4.81,2.03,0.18110447,,,0.02561,0.65,,,212.292,1.988,-1.952,4.68209,0.043385,-0.043385
EPIC 201833600 c,CONFIRMED,3.96165,2456813.039,2.16,1.48,0.132,0.012,-0.019,0.0214,0.634,0.039,-0.045,257.443,3.239,-3.239,3.85616,0.0484959,-0.0484959
EPIC 201837434.01,CANDIDATE,6.97251,2456814.355,2.808,2.01,0.179,0.019,-0.07,0.0294,0.6252,0.0061,-0.0203,239.506,2.027,-2.027,4.14667,0.0350709,-0.0350709
EPIC 201841433 b,CONFIRMED,4.16888,2456811.634,2.4,1.41,0.126,0.013,-0.03,0.0205,0.628,0.025,-0.043,436.488,8.178001,-7.888,2.26274,0.0418374,-0.0418374
EPIC 201841433.01,CANDIDATE,12.339133,2456819.824,2.84,2.59,0.23106432,,,0.02881,0.73,,,436.488,8.178001,-7.888,2.26274,0.0418374,-0.0418374
EPIC 201841433.01,CANDIDATE,12.3389,2456819.834,2.76,2.11,0.188,0.021,-0.054,0.0308,0.628,0.025,-0.043,436.488,8.178001,-7.888,2.26274,0.0418374,-0.0418374
EPIC 201846824.01,CANDIDATE,2.89465,2456810.617,1.44,1.75,0.156,0.021,-0.041,0.0228,0.702,0.059,-0.049,270.109,4.027,-4.027,3.67431,0.0547667,-0.0547667
EPIC 201856786.01,CANDIDATE,3.83794,2456812.658,2.112,1.51,0.135,0.029,-0.024,0.0172,0.809,0.162,-0.042,155.4257,,,,,
EPIC 201856786.02,CANDIDATE,5.24086,2456810.742,2.568,1.46,0.13,0.029,-0.022,0.0166,0.809,0.162,-0.042,155.4257,,,,,
EPIC 201896171.01,CANDIDATE,8.91058,2456819.043,2.88,2.8,0.25,0.068,-0.202,0.0249,1.028,0.222,-0.033,489.318,7.212,-7.009,2.01502,0.0294719,-0.0294719
EPIC 201920032.01,CANDIDATE,28.2692,2456833.204,4.2504,3.35,0.299,0.038,-0.038,0.0236,1.29,0.12,-0.12,399.976,8.063,-7.756,2.47214,0.0490542,-0.0490542
EPIC 201920032.01,CANDIDATE,28.270642,2456833.202,4.3,2.79,0.24890713,,,0.02688,0.9,,,399.976,8.063,-7.756,2.47214,0.0490542,-0.0490542
EPIC 201920032.01,CANDIDATE,28.2671,2456833.211,4.224,2.94,0.262,0.07,-0.03,0.0263,1.028,0.266,-0.03,399.976,8.063,-7.756,2.47214,0.0490542,-0.0490542
EPIC 201920032.02,CANDIDATE,4.73172,2456811.337,1.2,1.7,0.15,0.042,-0.029,0.0152,1.028,0.266,-0.03,399.976,8.063,-7.756,2.47214,0.0490542,-0.0490542
EPIC 201923289.01,CANDIDATE,0.78214992,2456810.377,1.31,1.29,0.11508609,,,0.01346,0.79,,,442.991,6.6235,-6.6235,2.22885,0.0334925,-0.0334925
EPIC 201923289.01,CANDIDATE,0.782022,2456810.386,1.416,1.58,0.141,0.021,-0.029,0.0154,0.94,0.113,-0.021,442.991,6.6235,-6.6235,2.22885,0.0334925,-0.0334925
EPIC 201925324.01,CANDIDATE,15.4769,2456819.259,3.528,2.89,0.258,0.021,-0.034,0.0401,0.66,0.032,-0.043,357.007,4.74,-4.618,2.77258,0.0364314,-0.0364314
EPIC 201927336.01,CANDIDATE,6.45027,2456811.939,1.632,2.29,0.204,0.02,-0.034,0.0235,0.894,0.033,-0.012,365.788,4.403,-4.301,2.70523,0.0322814,-0.0322814
EPIC 201927336.01,CANDIDATE,6.4498648,2456811.942,1.63,2.63,0.23463288,,,0.0257,0.85,,,365.788,4.403,-4.301,2.70523,0.0322814,-0.0322814
EPIC 201928106.01,FALSE POSITIVE,1.19478,2456808.97,7.104,1.65,0.147,0.013,-0.013,0.0644,0.235,0.021,-0.021,303.404,10.124,-10.124,3.27139,0.109019,-0.109019
EPIC 202059377.01,FALSE POSITIVE,1.5771832,2456772.583,3.96,33.4,2.97974842,,,0.2491,1.94,,,273.796,,,,,
EPIC 202059377.01,FALSE POSITIVE,1.57753,2456767.846,0.0,26.0,2.3,1.2,-1.2,0.13,1.93,0.39,-0.39,273.796,,,,,
EPIC 202062450.01,CANDIDATE,4.4654,2456775.982,7.488,45.0,4.0,1.3,-3.1,0.18,2.3,0.12,-0.18,917.554,60.551,-53.601,1.0658,0.0659077,-0.0659077
EPIC 202064253.01,CANDIDATE,21.140574,2456777.994,4.63,31.5,2.81024177,,,0.2499,1.29,,,1800.02,198.16,-163.14,0.528801,0.0533652,-0.0533652
EPIC 202066192.01,CANDIDATE,3.2923818,2456774.826,1.76,19.6,1.74859488,,,0.1053,1.87,,,4958.48,1115.36,-807.11,0.147759,0.0411793,-0.0411793
EPIC 202066537.01,CANDIDATE,6.90487,2456768.192,3.5088,53.0,4.7,2.9,-2.9,0.34,1.45,0.14,-0.14,2183.17,,,,,
EPIC 202066537.01,CANDIDATE,6.9055211,2456775.097,3.65,33.6,2.99759122,,,0.1906,1.89,,,2183.17,,,,,
EPIC 202066811.01,CANDIDATE,1.696374,2456773.589,3.7296,35.3,3.15,0.33,-0.09,0.1803,1.793,0.185,-0.029,2257.74,183.25,-158.28,0.41234,0.0328387,-0.0328387
EPIC 202071289.01,CANDIDATE,3.0459383,2456774.358,2.21,19.0,1.69506646,,,0.1997,0.89,,,264.567,9.42,-8.804,3.75842,0.128953,-0.128953
EPIC 202071289.01,CANDIDATE,3.046136,2456774.356,2.52,76.0,6.8,2.3,-2.5,0.41,1.698,0.35,-0.06,264.567,9.42,-8.804,3.75842,0.128953,-0.128953
EPIC 202071289.01,CANDIDATE,3.04622,2456768.263,2.5488,29.0,2.6,2.4,-2.4,0.3,0.89,0.1,-0.1,264.567,9.42,-8.804,3.75842,0.128953,-0.128953
EPIC 202071401.01,CANDIDATE,3.238542,2456772.226,1.27,1.67,0.14898742,,,0.02037,0.69,,,127.188,0.963,-0.948,7.83418,0.058632,-0.058632
EPIC 202071401.01,CANDIDATE,3.2367,2456769.002,1.2192,1.58,0.141,0.021,-0.021,0.0196,0.74,0.05,-0.05,127.188,0.963,-0.948,7.83418,0.058632,-0.058632
EPIC 202071635.01,CANDIDATE,6.2719092,2456775.43,5.32,60.0,5.35284147,,,0.3733,1.81,,,2668.14,390.45,-304.99,0.343494,0.0465091,-0.0465091
EPIC 202071645.01,FALSE POSITIVE,23.7782,2456802.746,5.0712,98.0,8.7,6.2,-6.2,0.44,2.09,0.42,-0.42,401.292,11.075,-10.506,2.46581,0.0664324,-0.0664324
EPIC 202071725.01,CANDIDATE,1.42636,2456773.345,2.328,6.66,0.594,0.05,-0.138,0.0142,4.28,0.16,-0.2,1062.67,59.72,-53.79,0.914342,0.0489638,-0.0489638
EPIC 202072596.01,CANDIDATE,3.979287,2456772.894,4.82,37.5,3.34552592,,,0.2167,1.84,,,713.075,,,,,
EPIC 202072965.01,CANDIDATE,2.1417519,2456772.766,6.93,86.2,7.69024891,,,0.5571,1.59,,,471.459,11.044,-10.559,2.0937,0.0481976,-0.0481976
EPIC 202085934.01,CANDIDATE,12.1507,2456779.545,3.84,1.48,0.132,0.012,-0.021,0.01639,0.83,0.059,-0.045,138.859,1.398,-1.37,7.17381,0.0712491,-0.0712491
EPIC 202086291.01,CANDIDATE,2.4343734,2456774.131,7.44,61.4,5.4777411,,,0.6393,0.9,,,701.156,31.017,-28.538,1.40056,0.0599829,-0.0599829
