toi,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
1051.01,FA,168.17,2.0,-2.0,-56.04,2.0,-2.0,2458657.737,21.701669,8.2676424,0.5088978,-0.5088978,211.6567325,25.132692,-25.132692,2.3751494,52.095,685.2,7.1278,0.006,-0.006,53.19149,,,5625.0,80.0,-80.0,4.438,1.56486
1052.01,CP,-63.327,0.046,-0.046,-1.942,0.044,-0.044,2458332.941,9.139804,3.0912936,0.6627002,-0.6627002,358.4157801,33.721474,-33.721474,3.0629855,243.011763,1006.993283,9.0197,0.006,-0.006,129.804,0.5575,-0.5575,5958.2,76.0,-76.0,4.34,1.58
1053.01,FP,-18.692,0.065,-0.065,-8.192,0.059,-0.059,2458657.999,5.742625,2.860293,0.230499,-0.230499,1105.760867,87.92673,-87.92673,13.088532,,,8.8849,0.006,-0.006,263.729,2.8735,-2.8735,5664.0,188.0,-188.0,3.26574,3.86959
1054.01,CP,1.594,0.054,-0.054,-15.903,0.049,-0.049,2460122.7,15.5077855,4.565,0.427,-0.427,513.0,25.4443,-25.4443,2.43432,88.0718,853.0,8.4362,0.006,-0.006,88.4343,0.28175,-0.28175,6122.0,194.0,-194.0,4.30881,1.17
1055.01,CP,108.439,0.074,-0.074,-82.632,0.052,-0.052,2458661.063,17.4713078,4.4284819,0.0990118,-0.0990118,1199.754148,28.872627,-28.872627,3.5766828,53.3700317,689.3568807,8.0888,0.006,-0.006,57.2651,0.18695,-0.18695,5783.54,7.82429,-7.82429,4.49925,0.974669
1056.01,PC,9.716,0.041,-0.041,-20.168,0.044,-0.044,2458326.062,5.3079507,3.2158594,0.2920944,-0.2920944,391.3830934,26.766296,-26.766296,3.0486928,603.2401116,1263.986113,9.6663,0.006,-0.006,168.354,0.6765,-0.6765,6124.3,83.0,-83.0,4.38,1.36963
1057.01,PC,117.721,0.081,-0.081,-24.565,0.076,-0.076,2458607.351,51.1701501,6.6641048,0.2877187,-0.2877187,851.4547808,36.121876,-36.121876,2.9366826,11.2148229,466.7322968,9.4091,0.006,-0.006,98.2855,0.26725,-0.26725,5599.0,187.0,-187.0,4.46138,0.943356
1058.01,PC,3.226,0.082,-0.082,-16.323,0.067,-0.067,2458663.023,11.1296441,7.0473822,0.3110119,-0.3110119,951.6169809,60.711002,-60.711002,12.8402271,1255.681716,1518.237249,9.3781,0.007,-0.007,338.831,6.705,-6.705,5785.0,189.0,-189.0,4.344,3.4475601
1059.01,PC,4.297,0.037,-0.037,-207.409,0.034,-0.034,2460106.338,9.4496506,2.021,0.027,-0.027,19750.0,16.7663,-16.7663,17.0216,38.5799,694.0,9.7825,0.006,-0.006,98.8783,0.4197,-0.4197,5509.0,186.0,-186.0,4.39758,0.94
106.01,KP,10.845,0.035,-0.035,-0.499,0.052,-0.052,2460201.639,2.8493825,3.567,0.053,-0.053,8049.0,25.0232,-25.0232,16.3869,2005.83,1864.0,10.3157,0.006,-0.006,364.411,2.729,-2.729,6900.0,,,4.438,1.77
1060.01,APC,2.224,0.286,-0.286,-14.604,0.228,-0.228,2460149.536,2.0685633,0.373,0.065,-0.065,502.0,169.202,-169.202,3.89739,24.409,619.0,9.6652,0.006,-0.006,128.491,3.3745,-3.3745,5687.9,76.0,-76.0,4.6,1.14
1061.01,FP,24.978,0.089,-0.089,-71.79,0.091,-0.091,2458654.253,0.540933,1.674337,0.329757,-0.329757,257.347459,27.641214,-27.641214,2.28501,,,9.7345,0.006,-0.006,133.171,0.6935,-0.6935,5525.0,186.0,-186.0,4.25342,1.21935
1062.01,CP,107.847,0.045,-0.045,30.732,0.042,-0.042,2460177.2,4.1150576,1.08,0.323,-0.323,487.0,50.8548,-50.8548,2.30057,77.3573,826.0,9.478,0.006,-0.006,82.1733,0.1632,-0.1632,5394.0,185.0,-185.0,4.50942,0.89
1063.01,PC,-89.125,0.041,-0.041,-9.6,0.044,-0.044,2458629.392,10.0665238,2.4023189,0.1599323,-0.1599323,839.9044871,47.550835,-47.550835,2.7272824,54.8791715,694.1792631,9.0689,0.006,-0.006,61.1201,0.1009,-0.1009,5552.0,187.0,-187.0,4.61783,0.791742
1064.01,CP,-3.457,0.124,-0.124,-100.891,0.072,-0.072,2458656.668,6.4438657,1.9309449,0.3014965,-0.3014965,1121.951228,76.157646,-76.157646,2.460344,60.831305,712.2812841,10.0059,0.006,-0.006,68.0726,0.362,-0.362,4803.0,178.0,-178.0,4.52079,0.737189
1064.02,CP,-3.457,0.124,-0.124,-100.891,0.072,-0.072,2458664.49,12.2265595,2.1904379,0.4219775,-0.4219775,1206.369329,86.60944,-86.60944,2.6014766,25.8970378,575.3502049,10.0059,0.006,-0.006,68.0726,0.362,-0.362,4803.0,178.0,-178.0,4.52079,0.737189
1065.01,KP,7.315,0.037,-0.037,-0.862,0.029,-0.029,2458654.348,2.160344,1.828854,0.14481,-0.14481,19357.99299,1487.6189,-1487.6189,22.503541,,,13.2851,0.006,-0.006,639.004,9.4715,-9.4715,5780.0,,,4.32928,1.2
1066.01,KP,3.99,0.054,-0.054,-37.19,0.042,-0.042,2458657.833,4.606184,3.121643,0.078877,-0.078877,13793.03487,1031.5532,-1031.5532,12.962219,,,11.9707,0.006,-0.006,353.891,4.919,-4.919,5670.0,,,4.3925,1.07
1067.01,KP,3.125,0.031,-0.031,6.146,0.029,-0.029,2458656.988,3.1316735,2.4579197,0.0815638,-0.0815638,14915.69437,307.91364,-307.91364,9.4995191,148.6544991,890.5622134,13.1686,0.006,-0.006,263.609,1.659,-1.659,4351.0,167.0,-167.0,4.438,0.76701
1068.01,KP,11.096,0.044,-0.044,-5.764,0.042,-0.042,2458656.633,3.180362,2.111521,0.106258,-0.106258,21192.46332,682.47424,-682.47424,13.446487,,,13.2887,0.006,-0.006,535.383,7.8145,-7.8145,5498.0,,,4.47934,0.92
1069.01,KP,-16.778,0.108,-0.108,-31.803,0.089,-0.089,2460147.379,2.9776446,2.962,0.099,-0.099,13022.0,123.052,-123.052,14.4339,758.324,1461.0,10.4293,0.006,-0.006,197.996,3.038,-3.038,5703.0,188.0,-188.0,4.25824,1.22
107.01,KP,26.376,0.078,-0.078,-44.947,0.059,-0.059,2460176.993,3.9502008,4.444,0.046,-0.046,13914.0,95.9899,-95.9899,20.5357,1009.38,1570.0,9.6433,0.006,-0.006,211.211,2.4835,-2.4835,6153.0,,,4.18077,1.71
1071.01,KP,-27.094,0.052,-0.052,-30.897,0.048,-0.048,2458655.394,3.5544026,2.0550535,0.0377042,-0.0377042,10164.87534,290.74887,-290.74887,13.200677,515.0014435,1214.987644,11.5803,0.006,-0.006,290.198,2.937,-2.937,5639.0,188.0,-188.0,4.37172,1.11499
1072.01,FP,1.679,0.043,-0.043,32.797,0.04,-0.04,2459211.732,12.8379689,9.8464123,0.1878411,-0.1878411,10539.01928,361.00934,-361.00934,25.4886382,374.129,1225.0,11.7106,0.006,-0.006,703.878,10.696,-10.696,5765.0,189.0,-189.0,4.34773,2.4494
1073.01,CP,3.827,0.058,-0.058,4.878,0.038,-0.038,2459036.473,3.9228016,1.8736007,0.0798146,-0.0798146,31510.90049,1047.8658,-1047.8658,13.3368705,91.167589,788.0973496,13.6699,0.006,-0.006,300.67,3.806,-3.806,4444.0,168.0,-168.0,4.438,0.6983
1074.01,PC,20.031,0.042,-0.042,42.175,0.054,-0.054,2458662.653,13.9428705,3.7522756,0.6019145,-0.6019145,1015.395543,87.93079,-87.93079,2.4233421,28.0927293,587.1759148,10.6339,0.006,-0.006,107.356,0.408,-0.408,5206.0,183.0,-183.0,4.63095,0.741671
1075.01,CP,-99.737,0.023,-0.023,-59.95,0.039,-0.039,2458654.25,0.6047392,1.0403847,0.2214539,-0.2214539,1027.683348,64.46101,-64.46101,1.8625587,528.0253155,1222.59731,11.1186,0.007,-0.007,61.4592,0.09435,-0.09435,4046.0,170.0,-170.0,4.60963,0.580337
1076.01,KP,5.382,0.051,-0.051,-38.112,0.047,-0.047,2458654.163,2.5495611,2.6173308,0.0193336,-0.0193336,14921.40219,81.960434,-81.960434,12.9171288,757.1284067,1337.864515,11.2474,0.006,-0.006,248.46,2.1455,-2.1455,5659.0,,,4.44653,1.03997
1077.01,PC,-22.788,0.032,-0.032,9.977,0.031,-0.031,2458654.103,1.6062693,1.9561305,0.0446816,-0.0446816,16725.30193,216.14401,-216.14401,12.6436029,844.2700581,1374.801814,13.461,0.006,-0.006,463.683,3.3225,-3.3225,5192.0,182.0,-182.0,4.4617,0.984326
1078.01,CP,424.414,0.073,-0.073,-1230.62,0.073,-0.073,2458654.103,0.5182425,0.8565249,0.0753501,-0.0753501,831.8920424,40.76848,-40.76848,1.3485121,255.1405815,1019.329598,10.1165,0.007,-0.007,20.373,0.0192,-0.0192,3325.0,102.0,-102.0,4.88693,0.390989
