kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig
6665512,CONFIRMED,6.92101452,135.64343,2454968.643,0.771,0.122,-0.535,4.3591,0.0801,-0.0801,530.0,15.0,-15.0,0.023135,0.00264,-0.00235,0.21781,0.48611,-0.01888,1.48,0.12,-0.14,0.059,84.6,619.0,34.85,11.14,-9.39,8.2,3.7,-3.7,0.0966,0.6414,5.7627587,31.725658,39.9,1,193.0,0.6332,4461.0,132.0,-132.0,4.661,0.052,-0.028,0.585,0.049,-0.054,0.571,0.061,-0.038,0.0
10525027,CONFIRMED,3.27344784,134.45023,2454967.45,0.44,0.445,-0.242,1.7292,0.0495,-0.0495,263.0,9.1,-9.1,0.014934,0.000224,-0.000652,4.10022,1.86164,-0.71663,0.81,0.07,-0.07,0.0349,88.1,625.0,36.05,9.86,-8.49,13.24,6.0,-6.0,0.3872,0.3156,6.5249653,31.888021,34.0,1,408.0,0.4073,3758.0,75.0,-85.0,4.769,0.04,-0.04,0.496,0.042,-0.042,0.528,0.034,-0.046,0.055
11069176,CONFIRMED,15.3789014,143.40629,2454976.406,0.359,0.116,-0.359,4.662,0.228,-0.228,185.0,12.0,-12.0,0.01252,0.000535,-0.000604,1.08766,0.42428,-0.32762,2.94,0.38,-1.04,0.1313,89.14,1039.0,275.53,93.14,-166.25,23.87,9.3,-9.3,0.26,0.4133,4.83924,18.763317,17.6,2,90.0,0.887,5817.0,78.0,-78.0,3.877,0.293,-0.098,2.153,0.272,-0.76,1.276,0.113,-0.21,0.009
10005758,CONFIRMED,134.4785189,169.28141,2455002.281,0.924,0.004,-0.004,5.9288,0.0565,-0.0565,4030.0,46.0,-46.0,0.072121,0.000889,-0.00102,0.87299,0.03184,-0.06238,10.52,1.65,-2.01,0.5135,89.44,412.0,6.81,3.06,-2.67,94.15,3.4,-3.4,0.2678,0.3958,62.04927,163.9393,149.9,2,9.0,0.0995,5791.0,117.0,-105.0,4.185,0.182,-0.098,1.336,0.209,-0.256,0.996,0.093,-0.07,0.397
10158418,CANDIDATE,5.007414194,135.024066,2454968.024,0.926,0.086,-0.007,1.3584,0.0168,-0.0168,4410.0,28.3,-28.3,0.07733,0.0469,-0.00263,2.82445,0.11677,-1.10129,8.8,1.42,-0.71,0.058,86.58,1114.0,363.75,162.95,-82.45,15.527,0.642,-0.642,0.2868,0.3588,46.335003,359.89984,196.6,1,214.0,0.4121,5957.0,107.0,-131.0,4.417,0.063,-0.117,1.042,0.168,-0.084,1.034,0.075,-0.068,0.0
3128793,FALSE POSITIVE,24.68662378,137.53976,2454970.54,0.643,0.024,-0.047,15.168,0.146,-0.146,8050.0,44.2,-44.2,0.085729,0.000621,-0.00157,0.04024,0.00471,-0.00402,48.04,12.5,-6.73,0.1633,86.62,1149.0,412.55,282.54,-121.69,10.9,1.3,-1.3,0.1236,0.6196,31.166208,141.52931,210.9,1,47.0,0.0,4648.0,69.0,-55.0,2.996,0.145,-0.145,5.132,1.336,-0.719,0.95,0.201,-0.021,0.0
5864975,CONFIRMED,98.7179332,131.58694,2454964.587,0.588,0.057,-0.137,6.593,0.109,-0.109,7320.0,70.5,-70.5,0.081484,0.000793,-0.00214,2.1732,0.54232,-0.4805,6.99,1.48,-0.52,0.3982,89.68,360.0,3.97,2.51,-0.93,103.8,25.9,-25.9,0.2865,0.3556,50.721767,109.69163,124.4,1,10.0,0.126,5808.0,157.0,-157.0,4.583,0.036,-0.144,0.786,0.166,-0.059,0.871,0.085,-0.095,0.0
2975770,CONFIRMED,71.52543938,191.69147,2455024.691,0.066,0.293,-0.066,5.9189,0.0564,-0.0564,5900.0,59.5,-59.5,0.06781,0.00153,-0.000556,3.52177,0.01693,-0.85507,5.76,0.22,-0.35,0.3091,89.96,340.0,3.15,0.46,-0.56,98.388,0.473,-0.473,0.1054,0.6323,57.922966,110.04745,111.3,2,8.0,0.9821,4855.0,77.0,-87.0,4.542,0.056,-0.02,0.778,0.029,-0.047,0.769,0.048,-0.028,0.0
3648437,CANDIDATE,17.50441726,135.74731,2454968.747,0.006,0.406,-0.006,4.2585,0.0648,-0.0648,725.0,17.1,-17.1,0.024535,0.0007,-0.000308,2.05681,0.08579,-0.62132,3.56,0.53,-0.73,0.1289,89.99,824.0,108.78,42.49,-43.47,32.18,1.3,-1.3,0.2736,0.3819,9.516022,38.407654,47.5,1,74.0,0.3766,5815.0,78.0,-78.0,4.16,0.203,-0.101,1.329,0.197,-0.271,0.933,0.074,-0.066,0.001
7877496,CONFIRMED,1.72086129,133.0209998,2454966.021,0.725,0.005,-0.005,2.0243,0.00533,-0.00533,10200.0,8.1,-8.1,0.099872,0.00022,-0.000223,1.02994,0.02234,-0.02496,13.25,0.85,-1.05,0.0287,82.35,1647.0,1743.61,394.07,-379.62,5.443,0.118,-0.118,0.2514,0.4282,108.06677,1733.5951,1654.9,1,773.0,0.6104,5742.0,115.0,-115.0,4.297,0.055,-0.045,1.215,0.078,-0.096,1.068,0.07,-0.078,0.0
7286173,CONFIRMED,56.4349933,151.41082,2454984.411,0.019,0.397,-0.019,4.7381,0.0712,-0.0712,580.0,14.0,-14.0,0.021706,0.000675,-0.00032,4.77055,0.04529,-1.73096,2.37,0.32,-0.28,0.276,89.99,465.0,11.04,4.32,-3.08,92.954,0.882,-0.882,0.2327,0.4526,11.894167,39.83727,47.7,1,25.0,0.543,5534.0,110.0,,4.381,0.121,-0.099,1.001,0.134,-0.12,0.88,0.072,-0.039,0.223
